include,source,resourceName,pubSubDocument,publish_type_SOAP_EM_OHI,namespace,subscriberPortName,mapper,messageVariant,extraFilter,addResourcesAndQueryParams,storeToESER,end
n,studiohub,grsresourcerightsload,n/a,EM,,umg_grcs_subscriber_qa,n/a,raw,,n,y,end
n,studiohub,grscontractrightsload,n/a,EM,,umg_grcs_subscriber_qa,n/a,raw,,n,y,end
n,umg.dsched,releaseschedule,n/a,OHI,,umg_lpi_subscriber,n/a,raw,,y,y,end
y,sonydadc,releasestatusnotification,n/a,EM,,umg_digs_relstatus_subscriber,n/a,raw,,n,y,end
n,sonydadc,releasestatusnotification,n/a,EM,,umg_digs_relstatus_subscriber_qa,n/a,raw,,n,y,end
n,metadataservices,resourceregistrationresponsemessage,n/a,EM,,umg_lpi_subscriber_demo_1,n/a,raw,,y,y,end
n,studiohub,masterreleasenotificationmessage,n/a,EM,,umg_disco_masterrelease_subscriber,n/a,raw,,y,y,end
n,studiohub,masterreleasenotificationmessage,n/a,EM,,umg_disco_masterrelease_subscriber_demo,n/a,raw,,y,y,end
y,studiohub,RepertoireResourceNotification,n/a,EM,,umg_metadataservices_subscriber,n/a,raw,,y,y,endy
n,gta,country,ohi_gta_country_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_country_1_detail/19570825,umg_gch_gta_subscriber,gta_countrymapper,pubsubwrapped,,y,y,end
n,gto,company,ohi_gto_company_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gto_company_1_detail/19570825,umg_gch_gta_subscriber,gta_companymapper,pubsubwrapped,,y,y,end
n,gta,currency,ohi_gta_currency_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_currency_1_detail/19570825,umg_gch_gta_subscriber,gta_currencymapper,pubsubwrapped,,y,y,end
n,umg.gta,financiallabel,ohi_umg.gta_financiallabel_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.gta_financiallabel_1_detail/19570825,umg_gch_gta_subscriber,gta_financiallabelmapper,pubsubwrapped,,y,y,end
n,gta,saleschannel,ohi_gta_saleschannel_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_saleschannel_1_detail/19570825,umg_gch_gta_subscriber,gta_saleschannelmapper,pubsubwrapped,,y,y,end
n,gta,configuration,ohi_gta_configuration_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_configuration_1_detail/19570825,umg_gch_gta_subscriber,gta_configurationmapper,pubsubwrapped,,y,y,end
y,studiohub,RepertoireResourceNotification,n/a,EM,,umg_metadataservices_subscriber,n/a,raw,,y,y,end
n,metadataservices,resourceregistrationresponsemessage,n/a,EM,,umg_lpi_subscriber_QA_1,n/a,raw,,y,y,end
y,umg.cprs,physicalreleaseschedulev3,n/a,OHI,,avarto_cprs_subscriber,n/a,emasis,,n,y,end
y,umg.cprs,territorialrights,n/a,OHI,,avarto_cprs_subscriber,n/a,emasis,,n,y,end
n,gto,company,ohi_gto_company_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gto_company_1_detail/19570825,disco_cla_subscriber,gta_company_raw_mapper,pubsubwrapped,,y,y,end
n,gto,label,ohi_gto_label_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gto_label_1_detail/19570825,disco_cla_subscriber,gta_label_raw_mapper,pubsubwrapped,,y,y,end
n,gto,companydivision,ohi_gto_companydivision_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gto_companydivision_1_detail/19570825,disco_cla_subscriber,gta_companydivision_raw_mapper,pubsubwrapped,,y,y,end
n,umg.mediaportal,grsresourcerightsload,n/a,EM,,umg_grcs_subscriber,n/a,raw,,n,y,end
n,umg.mediaportal,grsresourcerightsload,n/a,EM,,umg_grcs_subscriber_qa,n/a,raw,,n,y,end
n,bitmax,digitalassetupdatenotificationmessage,n/a,EM,,umg_lpi_subscriber,n/a,raw,,y,n,end
